public_unit_id,family,seed,route,edited_object,delta_vx,delta_vy,M1,joint_pass,anchor_rmse,k1_rmse,t19_rmse
joint-d20c3c92116f8fce3c1e,M1,291301,single_only_addressable,0,-0.1320015236735344,-0.0660007618367672,0.310203288508386,true,0.07084614982355862,0.05434621864701726,0.24732732606999425
joint-83912571774477870e69,M1,291301,single_only_addressable,0,0.1320015236735344,-0.0660007618367672,0.3388516983428101,true,0.053128320340717454,0.05484518170901515,0.16084035837756977
joint-0b091357d2bc89169b82,M1,291301,single_only_addressable,0,0.1320015236735344,-0.1320015236735344,0.4321584155768516,false,0.0837713249514155,0.08439217589468692,0.3273803290700025
joint-79a2726c7c85c127d89d,M1,291301,single_only_addressable,0,-0.1320015236735344,-0.1320015236735344,0.27289588568509726,true,0.05844521437562445,0.06100856857849943,0.24426269644839807
joint-ff0e8b614b34aecce4b3,M1,291301,single_only_addressable,1,0.0660007618367672,0.1320015236735344,0.09832043131067418,true,0.05048641892420833,0.04335814868923396,0.11267388560246577
joint-a6e0056491e5774f3780,M1,291301,single_only_addressable,0,0.0660007618367672,-0.1320015236735344,0.39716333587946445,true,0.0640817217899893,0.06526487678482006,0.22765492716706193
joint-009541860623d2bb9f1f,M1,291301,single_only_addressable,0,-0.0660007618367672,0.1320015236735344,0.38044251663011885,true,0.05879063692420163,0.05932808096519829,0.19553935904532152
joint-ffe811f4bd9985f39189,M1,291301,single_only_addressable,0,-0.0660007618367672,-0.1320015236735344,0.1553440628472425,true,0.03283492334496954,0.03342238227440443,0.08989727113848364
joint-08c462a1ad92c4ade964,M1,291301,single_only_addressable,0,0.1320015236735344,-0.0660007618367672,0.3127690427485184,true,0.05009197629029223,0.05406218834525982,0.16592096832924602
joint-2ce56f0ea0683dcda2f5,M1,291301,single_only_addressable,0,-0.1320015236735344,-0.0660007618367672,0.2530904455594346,true,0.04701505724269018,0.051004128833395716,0.19266564873578843
joint-e8e45e1d9d7dc3a06a25,M1,291301,single_only_addressable,0,0.1320015236735344,-0.1320015236735344,0.4669537649478402,false,0.07261992885100121,0.07527707156505699,0.2303885954821777
joint-cf92d455cc3ba4b96312,M1,291301,single_only_addressable,1,-0.1320015236735344,0.1320015236735344,0.38109141870935337,true,0.052470719388960224,0.05473029589117195,0.27154916915180166
joint-2a931d7a53cb9c33974d,M1,291302,single_only_addressable,0,0.0660007618367672,-0.0660007618367672,0.16968681082334125,true,0.053413135775942505,0.041173921623252355,0.14809179571315337
joint-4352a0ffd3ac22d2f5e6,M1,291302,single_only_addressable,1,0.0660007618367672,-0.0660007618367672,0.06048872981140091,true,0.011255273953502567,0.011769649487323853,0.026960890292150458
joint-147f59a58d0ef285e900,M1,291302,single_only_addressable,0,0.0660007618367672,-0.1320015236735344,0.2491030244337773,false,0.09721714032681061,0.07814992065984945,0.24198476476150044
joint-d0326bfd1d59b011ffc1,M1,291302,single_only_addressable,0,0.1320015236735344,0.0660007618367672,0.05110106519647638,true,0.02039831993586847,0.023303647711084705,0.053194411974331925
joint-b0a6408213b275a6eec4,M1,291302,single_only_addressable,0,-0.1320015236735344,0.0660007618367672,0.1320284663299569,true,0.020138034244855673,0.027170477839626134,0.07314298929498975
joint-f16075ae76c562b01afa,M1,291302,single_only_addressable,1,0.1320015236735344,0.0660007618367672,0.3222922284446818,true,0.049129479349192116,0.04855552359109957,0.22411061881742794
joint-6c84dffefac07a85efd4,M1,291302,single_only_addressable,1,0.1320015236735344,-0.1320015236735344,0.1665177381687748,true,0.025983315529585903,0.02331093999920099,0.0576523068707706
